Handle,SKU,Name,Category,Description,Sold by weight,Option 1 name,Option 1 value,Option 2 name,Option 2 value,Option 3 name,Option 3 value,Default price,Cost,Barcode,SKU of included item,Quantity of included item,Track stock,Available for sale [MCC],Price [MCC],In stock [MCC],Low stock [MCC],Available for sale [MOE],Price [MOE],In stock [MOE],Low stock [MOE],Available for sale [WareHouse],Price [WareHouse],In stock [WareHouse],Low stock [WareHouse],"Tax - ""VAT"" (5%)"
ring-2512060409,2512060409,Ring 2512060409,4 Ring,<p>Silver925 18kGP Zircon</p>,N,,,,,,,250.00,187.50,2025120604097,,,Y,Y,250.00,0.000,1.000,N,250.00,0.000,,Y,250.00,0.000,,Y
ring-2512060410,2512060410,Ring 2512060410,4 Ring,<p>SS 18kGP</p>,N,,,,,,,150.00,112.50,2025120604103,,,Y,Y,150.00,2.000,1.000,N,150.00,0.000,,Y,150.00,0.000,,Y
ring-2512070401,2512070401,Ring 2512070401,4 Ring,<p>SS 18kGP</p>,N,,,,,,,160.00,120.00,2025120704018,,,Y,Y,160.00,0.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2512070402,2512070402,Ring 2512070402,4 Ring,<p>SS 18kGP Glassstone</p>,N,,,,,,,240.00,180.00,2025120704025,,,Y,Y,240.00,3.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
ring-2512070403,2512070403,Ring 2512070403,4 Ring,<p>SS 18kGP Glassstone</p>,N,,,,,,,240.00,180.00,2025120704032,,,Y,Y,240.00,2.000,1.000,N,240.00,0.000,,Y,240.00,0.000,,Y
ring-2512070404,2512070404,Ring 2512070404,4 Ring,<p>SS 18kGP Jade</p>,N,,,,,,,140.00,105.00,2025120704049,,,Y,Y,140.00,1.000,1.000,N,140.00,0.000,,Y,140.00,0.000,,Y
ring-2512070405,2512070405,Ring 2512070405,4 Ring,<p>SS 18kGP Tiger Eye Stone</p>,N,,,,,,,160.00,120.00,2025120704056,,,Y,Y,160.00,1.000,1.000,N,160.00,0.000,,Y,160.00,0.000,,Y
ring-2601150401,2601150401,Ring 2601150401,Ring,SS 18kGP,Y,,,,,,,100.00,75.00,2026011504014,,,Y,Y,100.00,2.000,1.000,Y,100.00,3.000,1.000,Y,100.00,0.000,,Y
ring-2601150402,2601150402,Ring 2601150402,Ring,SS 18kGP,Y,,,,,,,140.00,105.00,2026011504021,,,Y,Y,140.00,1.000,1.000,Y,140.00,6.000,1.000,Y,140.00,0.000,,Y
ring-2601150403,2601150403,Ring 2601150403,Ring,<p>SS 18kGP</p>,Y,,,,,,,160.00,120.00,2026011504038,,,Y,Y,160.00,3.000,1.000,Y,160.00,2.000,1.000,Y,160.00,0.000,,Y
ring-2601150404,2601150404,Ring 2601150404,Ring,SS 18kGP,Y,,,,,,,160.00,120.00,2026011504045,,,Y,Y,160.00,2.000,1.000,Y,160.00,4.000,1.000,Y,160.00,0.000,,Y
ring-2601150405,2601150405,Ring 2601150405,Ring,SS 18kGP,Y,,,,,,,160.00,120.00,2026011504052,,,Y,Y,160.00,1.000,1.000,Y,160.00,5.000,1.000,Y,160.00,0.000,,Y
ring-2601150406,2601150406,Ring 2601150406,Ring,<p>SS 18kGP Zircon</p>,Y,,,,,,,140.00,105.00,2026011504069,,,Y,Y,140.00,4.000,1.000,Y,140.00,5.000,1.000,Y,140.00,0.000,,Y
ring-2601150407,2601150407,Ring 2601150407,Ring,<p>SS 18kGP Zircon</p>,Y,,,,,,,150.00,112.50,2026011504076,,,Y,N,150.00,0.000,,Y,150.00,8.000,1.000,Y,150.00,0.000,,Y
ring-2601150408,2601150408,Ring 2601150408,Ring,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026011504083,,,Y,N,190.00,0.000,,Y,190.00,3.000,1.000,Y,190.00,0.000,,Y
ring-2601150409,2601150409,Ring 2601150409,Ring,<p>SS 18kGP Zircon</p>,Y,,,,,,,190.00,142.50,2026011504090,,,Y,N,190.00,0.000,,Y,190.00,7.000,1.000,Y,190.00,0.000,,Y
ring-2601150410,2601150410,Ring 2601150410,Ring,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011504106,,,Y,Y,190.00,0.000,1.000,Y,190.00,0.000,1.000,Y,190.00,0.000,,Y
ring-2601160401,2601160401,Ring 2601160401,Ring,SS 18kGP Zircon,Y,,,,,,,190.00,142.50,2026011604011,,,Y,Y,190.00,0.000,1.000,Y,190.00,3.000,1.000,Y,190.00,0.000,,Y
ring-2601160402,2601160402,Ring 2601160402,Ring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,140.00,105.00,2026011604028,,,Y,N,140.00,0.000,,Y,140.00,8.000,1.000,Y,140.00,0.000,,Y
ring-2601160403,2601160403,Ring 2601160403,Ring,<p>Silver925 18kGP Zircon</p>,Y,,,,,,,140.00,105.00,2026011604035,,,Y,N,140.00,0.000,,Y,140.00,3.000,1.000,Y,140.00,0.000,,Y
